station,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day,daylightmins,tminsq,tmaxsq,tavgsq,departsq,wetbulbsq,heatsq,coolsq,preciptotalsq,resultspeedsq,resultdirsq,avgspeedsq,daylightminssq
1,2007-05-01 00:00:00,83,50,67.0,14.0,51,56.0,0.0,2.0,1900-01-01 04:48:00,1900-01-01 18:49:00,0.0,29.1,29.82,1.7,27,9.2,2007,5,1,841.0,2500,6889,4489.0,196.0,3136.0,0.0,4.0,0.0,2.8899999999999997,729,84.63999999999999,707281.0
1,2007-05-02 00:00:00,59,42,51.0,-3.0,42,47.0,14.0,0.0,1900-01-01 04:47:00,1900-01-01 18:50:00,0.0,29.38,30.09,13.0,4,13.4,2007,5,2,843.0,1764,3481,2601.0,9.0,2209.0,196.0,0.0,0.0,169.0,16,179.56,710649.0
1,2007-05-03 00:00:00,66,46,56.0,2.0,40,48.0,9.0,0.0,1900-01-01 04:46:00,1900-01-01 18:51:00,0.0,29.39,30.12,11.7,7,11.9,2007,5,3,845.0,2116,4356,3136.0,4.0,2304.0,81.0,0.0,0.0,136.89,49,141.61,714025.0
1,2007-05-04 00:00:00,66,49,58.0,4.0,41,50.0,7.0,0.0,1900-01-01 04:44:00,1900-01-01 18:52:00,0.0,29.31,30.05,10.4,8,10.8,2007,5,4,848.0,2401,4356,3364.0,16.0,2500.0,49.0,0.0,0.0,108.16000000000001,64,116.64000000000001,719104.0
1,2007-05-05 00:00:00,66,53,60.0,5.0,38,49.0,5.0,0.0,1900-01-01 04:43:00,1900-01-01 18:53:00,0.0,29.4,30.1,11.7,7,12.0,2007,5,5,850.0,2809,4356,3600.0,25.0,2401.0,25.0,0.0,0.0,136.89,49,144.0,722500.0
1,2007-05-06 00:00:00,68,49,59.0,4.0,30,46.0,6.0,0.0,1900-01-01 04:42:00,1900-01-01 18:55:00,0.0,29.57,30.29,14.4,11,15.0,2007,5,6,853.0,2401,4624,3481.0,16.0,2116.0,36.0,0.0,0.0,207.36,121,225.0,727609.0
1,2007-05-07 00:00:00,83,47,65.0,10.0,41,54.0,0.0,0.0,1900-01-01 04:41:00,1900-01-01 18:56:00,0.0,29.38,30.12,8.6,18,10.5,2007,5,7,855.0,2209,6889,4225.0,100.0,2916.0,0.0,0.0,0.0,73.96,324,110.25,731025.0
1,2007-05-08 00:00:00,82,54,68.0,12.0,58,62.0,0.0,3.0,1900-01-01 04:39:00,1900-01-01 18:57:00,0.0,29.29,30.03,2.7,11,5.8,2007,5,8,858.0,2916,6724,4624.0,144.0,3844.0,0.0,9.0,0.0,7.290000000000001,121,33.64,736164.0
1,2007-05-09 00:00:00,77,61,69.0,13.0,59,63.0,0.0,4.0,1900-01-01 04:38:00,1900-01-01 18:58:00,0.13,29.21,29.94,3.9,9,6.2,2007,5,9,860.0,3721,5929,4761.0,169.0,3969.0,0.0,16.0,0.016900000000000002,15.209999999999999,81,38.440000000000005,739600.0
1,2007-05-10 00:00:00,84,56,70.0,14.0,52,60.0,0.0,5.0,1900-01-01 04:37:00,1900-01-01 18:59:00,0.0,29.2,29.92,0.7,17,4.1,2007,5,10,862.0,3136,7056,4900.0,196.0,3600.0,0.0,25.0,0.0,0.48999999999999994,289,16.81,743044.0
1,2007-05-11 00:00:00,70,51,61.0,4.0,42,51.0,4.0,0.0,1900-01-01 04:36:00,1900-01-01 19:00:00,0.0,29.33,30.04,11.3,3,12.9,2007,5,11,864.0,2601,4900,3721.0,16.0,2601.0,16.0,0.0,0.0,127.69000000000001,9,166.41,746496.0
1,2007-05-12 00:00:00,64,46,55.0,-2.0,36,46.0,10.0,0.0,1900-01-01 04:35:00,1900-01-01 19:01:00,0.0,29.49,30.2,12.4,3,12.9,2007,5,12,866.0,2116,4096,3025.0,4.0,2116.0,100.0,0.0,0.0,153.76000000000002,9,166.41,749956.0
1,2007-05-13 00:00:00,69,43,56.0,-2.0,33,46.0,9.0,0.0,1900-01-01 04:34:00,1900-01-01 19:02:00,0.0,29.49,30.24,6.6,14,8.1,2007,5,13,868.0,1849,4761,3136.0,4.0,2116.0,81.0,0.0,0.0,43.559999999999995,196,65.61,753424.0
1,2007-05-14 00:00:00,90,56,73.0,15.0,47,59.0,0.0,8.0,1900-01-01 04:33:00,1900-01-01 19:03:00,0.0,29.23,29.97,16.9,21,17.3,2007,5,14,870.0,3136,8100,5329.0,225.0,3481.0,0.0,64.0,0.0,285.60999999999996,441,299.29,756900.0
1,2007-05-15 00:00:00,80,57,69.0,11.0,56,61.0,0.0,4.0,1900-01-01 04:32:00,1900-01-01 19:04:00,0.38,29.13,29.84,8.1,27,12.3,2007,5,15,872.0,3249,6400,4761.0,121.0,3721.0,0.0,16.0,0.1444,65.61,729,151.29000000000002,760384.0
1,2007-05-16 00:00:00,66,44,55.0,-4.0,43,48.0,10.0,0.0,1900-01-01 04:31:00,1900-01-01 19:05:00,0.14,29.33,30.03,7.8,36,12.2,2007,5,16,874.0,1936,4356,3025.0,16.0,2304.0,100.0,0.0,0.019600000000000003,60.839999999999996,1296,148.83999999999997,763876.0
1,2007-05-17 00:00:00,62,43,53.0,-6.0,32,43.0,12.0,0.0,1900-01-01 04:30:00,1900-01-01 19:06:00,0.0,29.55,30.27,10.5,3,11.3,2007,5,17,876.0,1849,3844,2809.0,36.0,1849.0,144.0,0.0,0.0,110.25,9,127.69000000000001,767376.0
1,2007-05-18 00:00:00,71,42,57.0,-3.0,30,46.0,8.0,0.0,1900-01-01 04:29:00,1900-01-01 19:07:00,0.0,29.53,30.25,5.4,25,7.5,2007,5,18,878.0,1764,5041,3249.0,9.0,2116.0,64.0,0.0,0.0,29.160000000000004,625,56.25,770884.0
1,2007-05-19 00:00:00,80,56,68.0,8.0,39,53.0,0.0,3.0,1900-01-01 04:28:00,1900-01-01 19:08:00,0.0,29.34,30.08,11.1,24,11.4,2007,5,19,880.0,3136,6400,4624.0,64.0,2809.0,0.0,9.0,0.0,123.21,576,129.96,774400.0
1,2007-05-20 00:00:00,69,43,56.0,-5.0,40,44.0,9.0,0.0,1900-01-01 04:27:00,1900-01-01 19:09:00,0.07,29.38,30.11,10.4,4,10.7,2007,5,20,882.0,1849,4761,3136.0,25.0,1936.0,81.0,0.0,0.004900000000000001,108.16000000000001,16,114.48999999999998,777924.0
1,2007-05-21 00:00:00,80,44,62.0,1.0,50,56.0,3.0,0.0,1900-01-01 04:26:00,1900-01-01 19:10:00,0.0,29.33,30.06,6.3,11,8.2,2007,5,21,884.0,1936,6400,3844.0,1.0,3136.0,9.0,0.0,0.0,39.69,121,67.24,781456.0
1,2007-05-22 00:00:00,87,55,71.0,10.0,46,58.0,0.0,6.0,1900-01-01 04:25:00,1900-01-01 19:11:00,0.0,29.34,30.06,10.0,18,10.2,2007,5,22,886.0,3025,7569,5041.0,100.0,3364.0,0.0,36.0,0.0,100.0,324,104.03999999999999,784996.0
