station,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day,daylightmins,tminsq,tmaxsq,tavgsq,departsq,wetbulbsq,heatsq,coolsq,preciptotalsq,resultspeedsq,resultdirsq,avgspeedsq,daylightminssq
1,2007-05-01 00:00:00,83,50,67.0,14.0,51,56.0,0.0,2.0,1900-01-01 04:48:00,1900-01-01 18:49:00,0.0,29.1,29.82,1.7,27,9.2,2007,5,1,841.0,2500,6889,4489.0,196.0,3136.0,0.0,4.0,0.0,2.8899999999999997,729,84.63999999999999,707281.0
2,2007-05-01 00:00:00,84,52,68.0,14.0,51,57.0,0.0,3.0,1900-01-01 04:48:00,1900-01-01 18:49:00,0.0,29.18,29.82,2.7,25,9.6,2007,5,1,841.0,2704,7056,4624.0,196.0,3249.0,0.0,9.0,0.0,7.290000000000001,625,92.16,707281.0
1,2007-05-02 00:00:00,59,42,51.0,-3.0,42,47.0,14.0,0.0,1900-01-01 04:47:00,1900-01-01 18:50:00,0.0,29.38,30.09,13.0,4,13.4,2007,5,2,843.0,1764,3481,2601.0,9.0,2209.0,196.0,0.0,0.0,169.0,16,179.56,710649.0
2,2007-05-02 00:00:00,60,43,52.0,-3.0,42,47.0,13.0,0.0,1900-01-01 04:47:00,1900-01-01 18:50:00,0.0,29.44,30.08,13.3,2,13.4,2007,5,2,843.0,1849,3600,2704.0,9.0,2209.0,169.0,0.0,0.0,176.89000000000001,4,179.56,710649.0
1,2007-05-03 00:00:00,66,46,56.0,2.0,40,48.0,9.0,0.0,1900-01-01 04:46:00,1900-01-01 18:51:00,0.0,29.39,30.12,11.7,7,11.9,2007,5,3,845.0,2116,4356,3136.0,4.0,2304.0,81.0,0.0,0.0,136.89,49,141.61,714025.0
2,2007-05-03 00:00:00,67,48,58.0,2.0,40,50.0,7.0,0.0,1900-01-01 04:46:00,1900-01-01 18:51:00,0.0,29.46,30.12,12.9,6,13.2,2007,5,3,845.0,2304,4489,3364.0,4.0,2500.0,49.0,0.0,0.0,166.41,36,174.23999999999998,714025.0
1,2007-05-04 00:00:00,66,49,58.0,4.0,41,50.0,7.0,0.0,1900-01-01 04:44:00,1900-01-01 18:52:00,0.0,29.31,30.05,10.4,8,10.8,2007,5,4,848.0,2401,4356,3364.0,16.0,2500.0,49.0,0.0,0.0,108.16000000000001,64,116.64000000000001,719104.0
2,2007-05-04 00:00:00,78,51,13.5,4.0,42,50.0,51.5,0.0,1900-01-01 04:44:00,1900-01-01 18:52:00,0.0,29.36,30.04,10.1,7,10.4,2007,5,4,848.0,2601,6084,182.25,16.0,2500.0,2652.25,0.0,0.0,102.00999999999999,49,108.16000000000001,719104.0
1,2007-05-05 00:00:00,66,53,60.0,5.0,38,49.0,5.0,0.0,1900-01-01 04:43:00,1900-01-01 18:53:00,0.0,29.4,30.1,11.7,7,12.0,2007,5,5,850.0,2809,4356,3600.0,25.0,2401.0,25.0,0.0,0.0,136.89,49,144.0,722500.0
2,2007-05-05 00:00:00,66,54,60.0,5.0,39,50.0,5.0,0.0,1900-01-01 04:43:00,1900-01-01 18:53:00,0.0,29.46,30.09,11.2,7,11.5,2007,5,5,850.0,2916,4356,3600.0,25.0,2500.0,25.0,0.0,0.0,125.43999999999998,49,132.25,722500.0
1,2007-05-06 00:00:00,68,49,59.0,4.0,30,46.0,6.0,0.0,1900-01-01 04:42:00,1900-01-01 18:55:00,0.0,29.57,30.29,14.4,11,15.0,2007,5,6,853.0,2401,4624,3481.0,16.0,2116.0,36.0,0.0,0.0,207.36,121,225.0,727609.0
2,2007-05-06 00:00:00,68,52,60.0,4.0,30,46.0,5.0,0.0,1900-01-01 04:42:00,1900-01-01 18:55:00,0.0,29.62,30.28,13.8,10,14.5,2007,5,6,853.0,2704,4624,3600.0,16.0,2116.0,25.0,0.0,0.0,190.44000000000003,100,210.25,727609.0
1,2007-05-07 00:00:00,83,47,65.0,10.0,41,54.0,0.0,0.0,1900-01-01 04:41:00,1900-01-01 18:56:00,0.0,29.38,30.12,8.6,18,10.5,2007,5,7,855.0,2209,6889,4225.0,100.0,2916.0,0.0,0.0,0.0,73.96,324,110.25,731025.0
2,2007-05-07 00:00:00,84,50,67.0,10.0,39,53.0,0.0,2.0,1900-01-01 04:41:00,1900-01-01 18:56:00,0.0,29.44,30.12,8.5,17,9.9,2007,5,7,855.0,2500,7056,4489.0,100.0,2809.0,0.0,4.0,0.0,72.25,289,98.01,731025.0
1,2007-05-08 00:00:00,82,54,68.0,12.0,58,62.0,0.0,3.0,1900-01-01 04:39:00,1900-01-01 18:57:00,0.0,29.29,30.03,2.7,11,5.8,2007,5,8,858.0,2916,6724,4624.0,144.0,3844.0,0.0,9.0,0.0,7.290000000000001,121,33.64,736164.0
2,2007-05-08 00:00:00,80,60,70.0,12.0,57,63.0,0.0,5.0,1900-01-01 04:39:00,1900-01-01 18:57:00,0.0,29.36,30.02,2.5,8,5.4,2007,5,8,858.0,3600,6400,4900.0,144.0,3969.0,0.0,25.0,0.0,6.25,64,29.160000000000004,736164.0
1,2007-05-09 00:00:00,77,61,69.0,13.0,59,63.0,0.0,4.0,1900-01-01 04:38:00,1900-01-01 18:58:00,0.13,29.21,29.94,3.9,9,6.2,2007,5,9,860.0,3721,5929,4761.0,169.0,3969.0,0.0,16.0,0.016900000000000002,15.209999999999999,81,38.440000000000005,739600.0
